State,County,Latitude ,Longitude ,Date,Time,Crime,Occurences
WY,Albany,41.293265,-105.590699,18-Jun-18,10:00pm-10:59pm,Assault,1
WY,Albany,41.293265,-105.590699,18-Jun-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,19-Jun-18,8:00pm-8:59pm,Assault,1
WY,Albany,41.293265,-105.590699,20-Jun-18,10:00am-10:59am,Assault,2
WY,Albany,41.293265,-105.590699,24-Jun-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,26-Jun-18,3:00pm-3:59pm,Assault,1
WY,Albany,41.293265,-105.590699,28-Jun-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,29-Jun-18,12:00am-12:59am,Assault,1
WY,Albany,41.293265,-105.590699,1-Jul-18,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,6-Jul-18,7:00pm-7:59pm,Assault,1
WY,Albany,41.293265,-105.590699,13-Jul-18,1:00pm-1:59pm,Assault,1
WY,Albany,41.293265,-105.590699,17-Jul-18,12:00n-12:59pm,Assault,2
WY,Albany,41.293265,-105.590699,19-Jul-18,9:00am-9:59am,Assault,2
WY,Albany,41.293265,-105.590699,22-Jul-18,11:00am-11:59am,Assault,2
WY,Albany,41.293265,-105.590699,22-Jul-18,5:00pm-5:59pm,Assault,1
WY,Albany,41.293265,-105.590699,2-Aug-18,4:00pm-4:59pm,Assault,2
WY,Albany,41.293265,-105.590699,4-Aug-18,9:00pm-9:59pm,Assault,1
WY,Albany,41.293265,-105.590699,7-Aug-18,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,11-Aug-18,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,21-Aug-18,5:00pm-5:59pm,Assault,2
WY,Albany,41.293265,-105.590699,24-Aug-18,12:00n-12:59pm,Assault,3
WY,Albany,41.293265,-105.590699,26-Aug-18,1:00am-1:59am,Assault,2
WY,Albany,41.293265,-105.590699,30-Aug-18,1:00am-1:59am,Assault,1
WY,Albany,41.293265,-105.590699,31-Aug-18,6:00pm-6:59pm,Assault,1
WY,Albany,41.293265,-105.590699,31-Aug-18,10:00pm-10:59pm,Assault,2
WY,Albany,41.293265,-105.590699,2-Sep-18,9:00pm-9:59pm,Assault,2
WY,Albany,41.293265,-105.590699,7-Sep-18,2:00pm-2:59pm,Assault,1
